Anime,Character,Role,Favorites,char_url
Kimetsu no Yaiba: Yuukaku-hen,"Agatsuma, Zenitsu",Main,16556,https://myanimelist.net/character/146158/Zenitsu_Agatsuma
Kimetsu no Yaiba: Yuukaku-hen,"Hashibira, Inosuke",Main,15057,https://myanimelist.net/character/146159/Inosuke_Hashibira
Kimetsu no Yaiba: Yuukaku-hen,"Kamado, Tanjirou",Main,24586,https://myanimelist.net/character/146156/Tanjirou_Kamado
Kimetsu no Yaiba: Yuukaku-hen,"Kamado, Nezuko",Main,14456,https://myanimelist.net/character/146157/Nezuko_Kamado
Kimetsu no Yaiba: Yuukaku-hen,"Uzui, Tengen",Main,5567,https://myanimelist.net/character/151144/Tengen_Uzui
Ashita no Joe 2,"Shiraki, Yoko",Main,70,https://myanimelist.net/character/46051/Yoko_Shiraki
Ashita no Joe 2,"Tange, Danpei",Main,108,https://myanimelist.net/character/46019/Danpei_Tange
Ashita no Joe 2,"Yabuki, Joe",Main,5680,https://myanimelist.net/character/11804/Joe_Yabuki
Hibike! Euphonium 3,"Kousaka, Reina",Main,2736,https://myanimelist.net/character/120017/Reina_Kousaka
Hibike! Euphonium 3,"Oumae, Kumiko",Main,6874,https://myanimelist.net/character/120015/Kumiko_Oumae
Mushishi Zoku Shou 2nd Season,Ginko,Main,16109,https://myanimelist.net/character/425/Ginko
One Piece,Brook,Main,10711,https://myanimelist.net/character/5627/Brook
One Piece,Franky,Main,6463,https://myanimelist.net/character/64/Franky
One Piece,Jinbe,Main,4139,https://myanimelist.net/character/18938/Jinbe
One Piece,"Monkey D., Luffy",Main,140604,https://myanimelist.net/character/40/Luffy_Monkey_D
One Piece,Nami,Main,15780,https://myanimelist.net/character/723/Nami
One Piece,"Nico, Robin",Main,21902,https://myanimelist.net/character/61/Robin_Nico
One Piece,"Roronoa, Zoro",Main,111277,https://myanimelist.net/character/62/Zoro_Roronoa
One Piece,Sanji,Main,31565,https://myanimelist.net/character/305/Sanji
One Piece,"Tony Tony, Chopper",Main,16099,https://myanimelist.net/character/309/Chopper_Tony_Tony
One Piece,Usopp,Main,14391,https://myanimelist.net/character/724/Usopp
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Yotarou,Main,160,https://myanimelist.net/character/119759/Yotarou
Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Yuurakutei, Yakumo",Main,1965,https://myanimelist.net/character/119763/Yakumo_Yuurakutei
86 Part 2,"Milizé, Vladilena",Main,11700,https://myanimelist.net/character/150824/Vladilena_Milizé
86 Part 2,"Nouzen, Shinei",Main,8301,https://myanimelist.net/character/150823/Shinei_Nouzen
Dandadan,"Ayase, Momo",Main,1139,https://myanimelist.net/character/196898/Momo_Ayase
Dandadan,"Takakura, Ken",Main,535,https://myanimelist.net/character/196899/Ken_Takakura
Great Teacher Onizuka,"Aizawa, Miyabi",Main,20,https://myanimelist.net/character/6232/Miyabi_Aizawa
Great Teacher Onizuka,"Fuyutsuki, Azusa",Main,88,https://myanimelist.net/character/3529/Azusa_Fuyutsuki
Great Teacher Onizuka,"Kanzaki, Urumi",Main,1867,https://myanimelist.net/character/455/Urumi_Kanzaki
Great Teacher Onizuka,"Kikuchi, Yoshito",Main,154,https://myanimelist.net/character/3604/Yoshito_Kikuchi
Great Teacher Onizuka,"Murai, Kunio",Main,44,https://myanimelist.net/character/4119/Kunio_Murai
Great Teacher Onizuka,"Nomura, Tomoko",Main,101,https://myanimelist.net/character/6231/Tomoko_Nomura
Great Teacher Onizuka,"Onizuka, Eikichi",Main,32070,https://myanimelist.net/character/434/Eikichi_Onizuka
Great Teacher Onizuka,"Uchiyamada, Hiroshi",Main,190,https://myanimelist.net/character/6238/Hiroshi_Uchiyamada
